,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
ZIP Code  & ,,Total,Dependent Exemptions,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Number of returns,Number of returns
Size of Adjusted,,,,,,,,,,,,,
Gross Income,(1),(2),(3),(4),(5),(6),(7),(8),(34),(35),(13),(15),(21)
,,,,,,,,,,,,,
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91935,"3,930","8,817","2,821","331,256","3,126","205,682","2,405","6,735","3,172","52,640",913,67,"2,052"
"Under $10,000        ",656,869,134,"-2,113",457,"3,164",211,306,243,110,117,15,38
"$10,000 under $25,000",691,"1,120",266,"11,585",509,"8,127",261,425,497,510,105,*         ,141
"$25,000 under $50,000",726,"1,523",494,"26,377",573,"19,370",363,522,632,"1,917",163,11,273
"$50,000 under $75,000",513,"1,327",479,"31,621",422,"22,611",378,733,473,"2,682",145,*         ,340
"$75,000 under $100,000",425,"1,182",402,"36,994",369,"26,764",347,698,416,"3,444",121,10,364
"$100,000 or more     ",919,"2,796","1,046","226,792",796,"125,646",845,"4,051",911,"43,977",262,31,896
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91941,"20,556","38,928","10,485","1,219,573","16,255","795,992","11,021","29,971","16,612","158,694","3,665",31,"8,517"
"Under $10,000        ","3,108","3,965",601,"-2,773","2,110","12,469",995,"1,291","1,036",578,547,*         ,183
"$10,000 under $25,000","4,422","6,893","1,720","76,136","3,338","55,586","1,457","2,380","3,261","3,601",620,0,622
"$25,000 under $50,000","5,280","9,280","2,547","191,739","4,367","149,456","2,323","3,500","4,711","14,498",727,*         ,"1,640"
"$50,000 under $75,000","2,947","6,368","1,894","181,400","2,433","135,101","2,053","3,514","2,837","16,426",586,20,"1,820"
"$75,000 under $100,000","1,910","4,648","1,333","165,091","1,598","118,864","1,534","3,487","1,887","16,476",442,*         ,"1,544"
"$100,000 or more     ","2,889","7,774","2,390","607,980","2,409","324,516","2,659","15,799","2,880","107,115",743,11,"2,708"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91942,"11,159","19,288","4,571","522,148","8,925","374,549","5,585","10,028","9,210","56,662","1,574",*         ,"3,929"
"Under $10,000        ","1,643","1,992",222,"6,394","1,157","6,691",491,456,540,230,279,0,110
"$10,000 under $25,000","2,527","3,587",685,"43,732","1,893","31,176",850,"1,417","1,997","2,071",319,0,327
"$25,000 under $50,000","3,307","5,371","1,296","120,254","2,745","94,403","1,456","2,264","3,031","9,373",375,*         ,952
"$50,000 under $75,000","1,779","3,572",955,"109,280","1,493","83,675","1,208","1,711","1,745","10,744",273,0,985
"$75,000 under $100,000",998,"2,433",715,"86,160",869,"67,676",777,"1,134",992,"8,903",178,0,755
"$100,000 or more     ",905,"2,333",698,"156,328",768,"90,928",803,"3,046",905,"25,341",150,0,800
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91943,257,408,90,"14,685",170,"7,362",146,716,213,"1,760",49,0,118
"Under $10,000        ",33,41,5,89,15,67,12,4,13,11,13,0,*         
"$10,000 under $25,000",54,76,16,918,35,587,30,46,39,52,23,0,21
"$25,000 under $50,000",77,123,34,"2,785",57,"1,882",34,63,71,219,*         ,0,20
"$50,000 under $75,000",39,54,6,"2,382",25,"1,355",27,103,37,201,13,0,31
"$75,000 under $100,000",16,35,11,"1,348",14,"1,058",10,2,16,173,*         ,0,10
"$100,000 or more     ",38,79,18,"7,163",24,"2,413",33,498,37,"1,104",*         ,0,36
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91944,669,"1,097",240,"36,634",510,"23,121",390,"1,118",557,"4,626",138,*         ,293
"Under $10,000        ",102,127,14,-92,64,422,31,70,34,25,31,0,*         
"$10,000 under $25,000",130,186,40,"2,253",84,"1,402",53,112,99,124,25,0,29
"$25,000 under $50,000",189,292,70,"6,906",164,"5,749",100,94,179,554,33,*         ,64
"$50,000 under $75,000",106,181,42,"6,465",87,"4,922",73,182,103,667,21,0,73
"$75,000 under $100,000",59,126,34,"5,081",47,"3,103",52,187,59,608,11,0,47
"$100,000 or more     ",83,185,40,"16,021",64,"7,523",81,473,83,"2,648",17,0,80
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91945,"10,658","22,542","8,064","405,130","9,215","327,538","4,197","4,964","7,841","31,808","1,463",*         ,"3,589"
"Under $10,000        ","1,680","2,428",602,"6,873","1,298","7,126",280,167,520,227,286,0,78
"$10,000 under $25,000","2,842","5,156","1,781","48,910","2,325","38,322",709,833,"1,942","2,004",366,0,333
"$25,000 under $50,000","3,331","7,249","2,848","119,455","3,004","102,053","1,234","1,266","2,710","7,136",385,0,"1,114"
"$50,000 under $75,000","1,588","4,220","1,610","96,854","1,456","80,805",974,"1,049","1,459","7,326",225,0,"1,028"
"$75,000 under $100,000",752,"2,150",760,"64,462",709,"53,935",590,548,747,"5,753",131,0,616
"$100,000 or more     ",465,"1,339",463,"68,576",423,"45,297",410,"1,101",463,"9,362",70,*         ,420
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91946,406,747,233,"16,130",329,"12,215",158,124,324,"1,515",72,0,135
"Under $10,000        ",55,72,11,142,25,113,19,12,24,16,25,0,*         
"$10,000 under $25,000",119,215,71,"2,078",98,"1,627",34,21,79,85,22,0,25
"$25,000 under $50,000",132,240,84,"4,925",122,"4,405",41,17,123,367,14,0,35
"$50,000 under $75,000",58,120,36,"3,512",53,"2,925",31,10,56,291,11,0,37
"$75,000 under $100,000",21,48,15,"1,836",17,"1,349",14,27,21,211,*         ,0,19
"$100,000 or more     ",21,52,16,"3,637",14,"1,796",19,37,21,545,*         ,0,19
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91947,28,58,20,814,17,401,*         ,*              ,18,55,*         ,0,*         
"Under $10,000        ",13,24,9,131,*         ,*              ,0,0,*         ,*              ,*         ,0,0
"$10,000 under $25,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$25,000 under $50,000",15,34,11,683,17,401,*         ,*              ,18,55,*         ,0,*         
"$50,000 under $75,000",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,0
"$75,000 under $100,000",0,0,0,0,0,0,0,0,0,0,0,0,0
"$100,000 or more     ",0,0,0,0,0,0,0,0,0,0,0,0,0
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91948,43,84,21,"1,909",25,808,17,8,32,181,*         ,0,16
"Under $10,000        ",*         ,*         ,*         ,*              ,*         ,*              ,0,0,0,0,*         ,0,0
"$10,000 under $25,000",27,45,12,486,14,183,*         ,*              ,17,28,*         ,0,*         
"$25,000 under $50,000",*         ,*         ,*         ,*              ,11,625,*         ,*              ,*         ,*              ,0,0,0
"$50,000 under $75,000",16,39,9,"1,423",*         ,*              ,17,8,15,153,*         ,0,16
"$75,000 under $100,000",*         ,*         ,*         ,*              ,0,0,*         ,*              ,*         ,*              ,*         ,0,*         
"$100,000 or more     ",*         ,*         ,*         ,*              ,*         ,*              ,*         ,*              ,*         ,*              ,0,0,*         
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91950,"19,870","47,708","20,696","584,664","17,875","497,755","4,790","4,517","12,313","35,013","2,065",0,"3,839"
"Under $10,000        ","3,633","5,804","1,758","16,892","2,941","16,711",405,211,"1,091",550,597,0,89
"$10,000 under $25,000","7,112","15,754","6,983","123,432","6,371","106,948","1,025",619,"3,950","3,791",683,0,525
"$25,000 under $50,000","6,248","17,108","7,976","219,778","5,878","198,403","1,684","1,358","4,578","10,152",481,0,"1,469"
"$50,000 under $75,000","1,971","6,246","2,846","118,539","1,850","102,900","1,000","1,032","1,801","8,026",179,0,"1,027"
"$75,000 under $100,000",576,"1,849",796,"49,283",544,"41,982",397,351,564,"4,237",65,0,437
"$100,000 or more     ",330,947,337,"56,740",291,"30,811",279,946,329,"8,257",60,0,292
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91951,574,"1,271",518,"19,752",508,"16,135",152,135,425,"1,312",67,0,129
"Under $10,000        ",77,134,48,270,52,286,13,14,28,24,20,0,0
"$10,000 under $25,000",189,383,151,"3,406",165,"2,780",37,71,127,122,25,0,14
"$25,000 under $50,000",204,466,202,"7,364",191,"6,562",50,26,170,450,22,0,49
"$50,000 under $75,000",65,183,78,"3,886",62,"3,319",27,6,63,310,*         ,0,35
"$75,000 under $100,000",21,57,21,"1,813",21,"1,603",13,13,20,176,0,0,14
"$100,000 or more     ",18,48,18,"3,013",17,"1,585",12,5,17,230,*         ,0,17
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91962,926,"1,872",496,"52,187",746,"39,064",540,722,750,"5,700",181,*         ,492
"Under $10,000        ",155,198,28,-575,104,585,51,86,52,21,38,*         ,*         
"$10,000 under $25,000",138,214,43,"2,391",102,"1,751",51,44,103,116,22,0,33
"$25,000 under $50,000",218,397,108,"8,091",168,"5,695",111,136,191,634,41,0,98
"$50,000 under $75,000",136,312,93,"8,396",116,"6,041",92,111,126,668,25,0,97
"$75,000 under $100,000",127,322,85,"11,103",114,"9,177",94,77,126,975,18,0,115
"$100,000 or more     ",152,429,139,"22,781",142,"15,815",141,268,152,"3,286",37,0,149
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91963,482,"1,267",558,"15,624",396,"12,151",130,170,319,"1,024",71,*         ,91
"Under $10,000        ",75,131,43,393,52,282,14,11,23,15,16,0,0
"$10,000 under $25,000",171,433,194,"2,973",140,"2,301",32,16,102,101,32,0,14
"$25,000 under $50,000",143,427,204,"5,038",118,"3,808",38,103,105,241,23,*         ,21
"$50,000 under $75,000",57,179,86,"3,447",53,"2,965",22,15,54,257,*         ,*         ,27
"$75,000 under $100,000",23,66,24,"1,958",22,"1,677",13,4,23,185,*         ,0,17
"$100,000 or more     ",13,31,7,"1,815",11,"1,118",11,21,12,225,*         ,0,12
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91976,265,484,134,"12,465",197,"7,309",126,241,216,"1,408",57,0,86
"Under $10,000        ",40,55,11,97,25,125,12,6,15,6,12,0,*         
"$10,000 under $25,000",66,106,28,"1,116",45,719,25,39,52,59,16,0,*         
"$25,000 under $50,000",85,163,54,"3,047",72,"2,458",33,83,76,208,19,0,31
"$50,000 under $75,000",25,58,20,"1,583",20,"1,057",17,11,25,159,10,0,15
"$75,000 under $100,000",22,47,9,"1,925",21,"1,483",17,4,21,200,*         ,0,17
"$100,000 or more     ",27,55,12,"4,697",14,"1,467",22,98,27,776,*         ,0,23
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91977,"22,939","51,309","19,398","938,640","19,756","748,800","9,229","11,217","16,486","77,441","3,276",*         ,"8,380"
"Under $10,000        ","3,594","5,391","1,444","12,371","2,841","16,392",634,462,"1,141",566,572,0,175
"$10,000 under $25,000","6,037","11,613","4,400","104,377","4,996","83,025","1,338","1,557","3,858","4,037",787,0,722
"$25,000 under $50,000","6,595","15,426","6,420","237,986","5,843","200,010","2,425","2,191","5,122","13,388",771,*         ,"2,287"
"$50,000 under $75,000","3,414","9,382","3,720","209,167","3,061","171,356","2,111","1,896","3,113","14,946",543,*         ,"2,254"
"$75,000 under $100,000","1,843","5,384","2,038","158,412","1,696","130,097","1,432","1,551","1,803","13,638",317,0,"1,564"
"$100,000 or more     ","1,456","4,113","1,376","216,327","1,319","147,920","1,289","3,560","1,449","30,866",286,0,"1,378"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91978,"3,827","8,197","2,772","187,324","3,256","144,898","1,772","2,044","3,003","18,728",635,0,"1,567"
"Under $10,000        ",581,802,167,"2,200",444,"2,627",116,83,200,105,101,0,36
"$10,000 under $25,000",847,"1,453",439,"14,782",670,"11,120",238,264,614,708,113,0,123
"$25,000 under $50,000","1,028","2,207",804,"37,371",897,"30,766",394,353,867,"2,458",138,0,345
"$50,000 under $75,000",631,"1,594",580,"38,968",557,"31,065",410,491,589,"3,199",127,0,403
"$75,000 under $100,000",343,957,343,"29,645",323,"24,684",258,195,336,"2,663",64,0,285
"$100,000 or more     ",397,"1,184",439,"64,358",365,"44,636",356,658,397,"9,595",92,0,375
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91979,506,971,279,"27,846",396,"19,266",269,492,411,"3,041",86,0,243
"Under $10,000        ",68,89,17,264,36,238,21,7,22,15,20,0,*         
"$10,000 under $25,000",101,161,46,"1,720",73,"1,306",32,46,76,100,22,0,23
"$25,000 under $50,000",128,234,71,"4,734",104,"3,809",65,67,111,318,14,0,50
"$50,000 under $75,000",88,184,55,"5,486",80,"4,391",51,36,85,578,15,0,58
"$75,000 under $100,000",57,142,41,"4,891",49,"3,842",45,29,55,432,15,0,52
"$100,000 or more     ",64,161,49,"10,751",54,"5,680",55,307,62,"1,598",*         ,0,60
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
91980,816,"2,237","1,072","18,935",686,"16,330",119,126,429,882,123,0,36
"Under $10,000        ",177,339,126,768,104,698,18,29,60,51,53,0,*         
"$10,000 under $25,000",351,923,436,"6,035",310,"5,085",49,54,174,164,49,0,*         
"$25,000 under $50,000",235,792,420,"7,997",224,"7,547",31,18,147,268,21,0,26
